"","loc","lng","lat"
"1",NA,NA,NA
"2","Åland",19.0831764,59.4542506
"3","Afghanistan",60.5170005,29.3772
"4","Africa",-12.1360704,-29.3041736
"5","Albania",18.9948678,39.6387032
"6","Algeria",-8.6676111,18.9681469
"7","American Samoa",-171.1003239,-14.7217608
"8","Andorra",1.4135436,42.4287118
"9","Angola",11.4696999,-18.0391039
"10","Anguilla",-63.4803,18.1465043
"11","Antarctica",-155.2387406,-89.3477177
"12","Antigua And Barbuda",-62.3810001,16.9018
"13","Argentina",-73.5605808,-55.1220541
"14","Armenia",43.447263,38.8402439
"15","Aruba",-70.070114,12.406093
"16","Asia",NA,NA
"17","Australia",100.0911072,-51.6633232
"18","Austria",9.5307348,46.3723358
"19","Azerbaijan",44.7635331,38.3924898
"20","Bahamas",-81.257154,21.4248332
"21","Bahrain",50.324246,25.5349999
"22","Baker Island",-176.4867685,0.1899033
"23","Bangladesh",88.0086141,20.3794
"24","Barbados",-59.6530151,13.039844
"25","Belarus",23.1783381,51.2621919
"26","Belgium",2.5240999,49.4969518
"27","Belize",-89.2275879,15.8856189
"28","Benin",0.7754124,6.2061001
"29","Bhutan",88.7455216,26.7020211
"30","Bolivia",-69.6449394,-22.8980341
"31","Bonaire, Saint Eustatius And Saba",-63.002982,17.4644651
"32","Bosnia And Herzegovina",15.7287322,42.5554737
"33","Botswana",19.998903,-26.9075448
"34","Brazil",-73.982817,-34.0891
"35","British Virgin Islands",-64.9565265,18.2106868
"36","Bulgaria",22.3571566,41.2353414
"37","Burkina Faso",-5.5132416,9.4104717
"38","Burma",92.171808,9.4518
"39","Burundi",29.000968,-4.4693288
"40","Côte D'Ivoire",-8.6020589,4.193
"41","Cambodia",102.3336583,9.6007
"42","Cameroon",8.3936001,1.6559
"43","Canada",-142,42
"44","Cape Verde",-25.383911,14.7270733
"45","Cayman Islands",-81.4294001,19.2538999
"46","Central African Republic",14.4150981,2.2230529
"47","Chad",13.4699999,7.442975
"48","Chile",-110.0281,-56.6233
"49","China",73.4994136,17.9996
"50","Christmas Island",105.5312558,-10.5742278
"51","Colombia",-81.8317,-4.2271099
"52","Comoros",43.1968689,-12.4687602
"53","Congo (Democratic Republic Of The)",12.1454,-13.4590349
"54","Congo",11.1182001,-5.0964
"55","Costa Rica",-87.3616408,5.2981183
"56","Croatia",13.3649,42.3385087
"57","Cuba",-85.1715001,19.6529001
"58","Curaçao",-69.2675452,11.9120626
"59","Cyprus",32.2459,34.6304001
